Net Demand 08/18/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,28066,27703,27703,27703,27260,27260,27260,26761,26761,26761,26378,26378,26378,26078,26078,26078,25777,25777,25777,25457,25457,25457,25212,25212,25212,24987,24987,24987,24792,24792,24792,24609,24609,24609,24479,24479,24479,24440,24440,24440,24369,24369,24369,24283,24283,24283,24338,24338,24338,24431,24431,24431,24414,24414,24414,24505,24505,24505,24738,24738,24738,25020,25020,25020,25340,25340,25340,25541,25541,25541,26037,26037,26037,26362,26362,26362,26785,26785,26785,27073,27073,27073,27551,27551,27551,27822,27822,27822,27878,27878,27878,27957,27957,27957,28107,28107,28107,28154,28154,28154,28188,28188,28188,28185,28185,28185,28269,28269,28269,28423,28423,28423,28519,28519,28519,28530,28530,28530,28552,28552,28552,28574,28574,28574,28590,28590,28590,28604,28604,28604,28710,28710,28710,28883,28883,28883,28894,28894,28894,28902,28902,28902,28912,28912,28912,29003,29003,29003,29086,29086,29086,29194,29194,29194,29293,29293,29293,29432,29432,29432,29577,29577,29577,29730,29730,29730,29924,29924,29924,30094,30094,30094,30353,30353,30353,30589,30589,30589,30792,30792,30792,31039,31039,31039,31164,31164,31164,31329,31329,31329,31481,31481,31481,31655,31655,31655,31842,31842,31842,32033,32033,32033,32118,32118,32118,32355,32355,32355,32503,32503,32503,32636,32636,32636,32663,32663,32663,32715,32715,32715,32689,32689,32689,32450,32450,32450,32352,32352,32352,32287,32287,32287,32354,32354,32354,32455,32455,32455,32563,32563,32563,32608,32608,32608,32359,32359,32359,32077,32077,32077,31826,31826,31826,31453,31453,31453,31179,31179,31179,30726,30726,30726,30302,30302,30302,29686,29686,29686,29163,29163,29163,28539,28539,28539,27969,27969,27969,27486,27486,27486,27093,27093,27093,26615,26615,26615,26236,26236,26236
Demand,28027,27886,27794,27646,27507,27357,27215,27094,26954,26855,26666,26552,26451,26352,26248,26139,26053,25943,25832,25720,25611,25518,25454,25321,25233,25185,25131,25064,24998,24933,24812,24772,24716,24688,24662,24599,24523,24526,24512,24473,24434,24418,24377,24349,24316,24279,24239,24254,24205,24227,24307,24358,24384,24405,24312,24318,24376,24390,24398,24432,24478,24648,24827,24936,25003,25086,25164,25292,25386,25465,25570,25687,25800,26189,26513,26670,26750,26798,26857,26963,27077,27092,27171,27204,27283,27518,27707,27716,27796,27831,27819,27839,27876,27796,27772,27838,27895,28071,28105,28099,28121,28137,28119,28175,28137,28155,28186,28237,28357,28450,28473,28447,28518,28500,28505,28505,28505,28497,28453,28483,28488,28480,28473,28460,28460,28510,28482,28506,28558,28605,28604,28631,28638,28642,28679,28631,28637,28683,28670,28678,28709,28711,28721,28731,28706,28764,28786,28828,28904,28918,28943,28917,28926,28961,29009,29059,29054,29090,29131,29194,29251,29339,29395,29443,29553,29556,29598,29674,29742,29820,29902,29978,30038,30111,30166,30297,30382,30425,30482,30550,30628,30632,30654,30726,30835,30921,30984,31051,31062,31104,31189,31302,31379,31308,31321,31381,31500,31611,31672,31747,31864,31950,32037,32075,32132,32103,32081,32141,32195,32321,32391,32532,32553,32619,32720,32749,32755,32623,32541,32544,32618,32638,32644,32663,32697,32690,32711,32745,32768,32668,32617,32641,32648,32573,32514,32565,32605,32706,32715,32710,32721,32727,32747,32704,32662,32618,32549,32476,32392,32272,32153,32027,31946,31878,31905,31816,31699,31614,31454,31346,31234,31068,30891,30653,30431,30206,30023,29861,29660,29441,29269,29093,28870,28660,28486,28297,28096,27936,27854,27684,27522,27343,27179,26982,26808,26672,26506,26321,
Day-ahead net forecast,25832,23655,23655,23655,23655,23655,23655,23655,23655,23655,23655,23655,23655,22243,22243,22243,22243,22243,22243,22243,22243,22243,22243,22243,22243,21446,21446,21446,21446,21446,21446,21446,21446,21446,21446,21446,21446,21054,21054,21054,21054,21054,21054,21054,21054,21054,21054,21054,21054,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,21327,22566,22566,22566,22566,22566,22566,22566,22566,22566,22566,22566,22566,23419,23419,23419,23419,23419,23419,23419,23419,23419,23419,23419,23419,20356,20356,20356,20356,20356,20356,20356,20356,20356,20356,20356,20356,16674,16674,16674,16674,16674,16674,16674,16674,16674,16674,16674,16674,15012,15012,15012,15012,15012,15012,15012,15012,15012,15012,15012,15012,14301,14301,14301,14301,14301,14301,14301,14301,14301,14301,14301,14301,14057,14057,14057,14057,14057,14057,14057,14057,14057,14057,14057,14057,14340,14340,14340,14340,14340,14340,14340,14340,14340,14340,14340,14340,15183,15183,15183,15183,15183,15183,15183,15183,15183,15183,15183,15183,16549,16549,16549,16549,16549,16549,16549,16549,16549,16549,16549,16549,18202,18202,18202,18202,18202,18202,18202,18202,18202,18202,18202,18202,19884,19884,19884,19884,19884,19884,19884,19884,19884,19884,19884,19884,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,27050,27050,27050,27050,27050,27050,27050,27050,27050,27050,27050,27050,30064,30064,30064,30064,30064,30064,30064,30064,30064,30064,30064,30064,29896,29896,29896,29896,29896,29896,29896,29896,29896,29896,29896,29896,28339,28339,28339,28339,28339,28339,28339,28339,28339,28339,28339,28339,25902,25902,25902,25902,25902,25902,25902,25902,25902,25902,25902,25902,23758,23758,23758,23758,23758,23758,23758,23758,23758,23758,23758,23758
Net demand,24548,24412,24311,24181,24020,23909,23794,23636,23520,23456,23323,23176,23111,23012,22931,22832,22714,22536,22397,22204,22034,21908,21831,21693,21587,21517,21517,21481,21466,21426,21364,21293,21286,21280,21259,21226,21209,21168,21216,21237,21241,21223,21183,21151,21213,21188,21208,21179,21122,21069,21122,21179,21256,21260,21296,21246,21310,21368,21360,21410,21494,21668,21883,22053,22123,22199,22321,22451,22620,22714,22807,22940,23069,23357,23771,23971,24044,24127,24119,24142,24142,23972,23783,23549,23337,23169,23074,22784,22437,22128,21711,21247,20753,20346,19858,19422,19009,18595,18187,17779,17423,17156,16854,16567,16294,16033,15745,15551,15525,15483,15306,15123,14883,14938,14947,14869,14722,14618,14697,14592,14513,14503,14461,14433,14246,14160,14037,14052,13994,13984,13915,13877,13866,13776,13689,13703,13716,13741,13576,13497,13621,13735,13538,13661,13412,13377,13434,13437,13420,13435,13547,13605,13744,13708,13756,13779,13819,13869,13917,13979,13968,13964,13979,14158,14144,14150,14211,14319,14159,14353,14382,14459,14661,14686,14819,14910,15047,15153,15188,15163,15202,15336,15361,15345,15590,15695,15748,15998,16129,16342,16467,16698,16846,16899,16772,17093,17436,17588,17788,17932,18097,18407,18690,18913,19212,19231,19554,19894,20054,20312,20647,21126,21490,21863,22128,22590,23051,23571,23883,24326,24862,25341,25747,26087,26468,26813,27074,27372,27664,27862,28012,28192,28332,28444,28518,28592,28641,28809,28889,28888,28889,28898,28964,28907,28908,28815,28784,28703,28652,28574,28470,28378,28331,28185,28230,28255,28170,28173,28052,28022,27888,27763,27541,27353,27164,26821,26469,26218,25922,25644,25342,25081,24793,24529,24279,24085,23854,23592,23476,23320,23141,22974,22921,22782,22634,22545,22421,22220,
