Net Demand 08/19/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,26237,25964,25964,25964,25571,25571,25571,25217,25217,25217,24914,24914,24914,24636,24636,24636,24426,24426,24426,24094,24094,24094,23873,23873,23873,23672,23672,23672,23553,23553,23553,23364,23364,23364,23291,23291,23291,23238,23238,23238,23064,23064,23064,23120,23120,23120,23179,23179,23179,23247,23247,23247,23377,23377,23377,23488,23488,23488,23815,23815,23815,24153,24153,24153,24493,24493,24493,24753,24753,24753,25225,25225,25225,25596,25596,25596,25905,25905,25905,26181,26181,26181,26530,26530,26530,26838,26838,26838,26942,26942,26942,27066,27066,27066,27334,27334,27334,27409,27409,27409,27412,27412,27412,27502,27502,27502,27719,27719,27719,27761,27761,27761,27772,27772,27772,27804,27804,27804,27829,27829,27829,27774,27774,27774,27806,27806,27806,27854,27854,27854,27976,27976,27976,28075,28075,28075,28089,28089,28089,28183,28183,28183,28297,28297,28297,28439,28439,28439,28516,28516,28516,28681,28681,28681,28939,28939,28939,29226,29226,29226,29461,29461,29461,29714,29714,29714,30115,30115,30115,30445,30445,30445,30796,30796,30796,31137,31137,31137,31440,31440,31440,31859,31859,31859,32242,32242,32242,32636,32636,32636,32890,32890,32890,33210,33210,33210,33397,33397,33397,33625,33625,33625,33687,33687,33687,33867,33867,33867,33915,33915,33915,34032,34032,34032,33912,33912,33912,33899,33899,33899,33764,33764,33764,33509,33509,33509,33237,33237,33237,32953,32953,32953,32876,32876,32876,32998,32998,32998,33043,33043,33043,32918,32918,32918,32677,32677,32677,32255,32255,32255,31916,31916,31916,31560,31560,31560,31221,31221,31221,30730,30730,30730,30212,30212,30212,29695,29695,29695,29049,29049,29049,28417,28417,28417,27919,27919,27919,27451,27451,27451,26949,26949,26949,26505,26505,26505,26042,26042,26042
Demand,26166,26119,26082,25988,25877,25791,25668,25532,25420,25314,25184,25066,24938,24876,24775,24700,24602,24499,24408,24338,24259,24166,24072,24006,23882,23877,23866,23805,23776,23647,23598,23531,23495,23439,23438,23369,23301,23238,23243,23215,23221,23216,23159,23165,23146,23116,23085,23054,23073,23160,23240,23249,23287,23340,23358,23417,23468,23469,23506,23543,23614,23840,24038,24130,24195,24266,24331,24462,24549,24621,24720,24851,24997,25344,25645,25778,25842,25906,25932,25992,26056,26118,26184,26255,26333,26542,26732,26794,26894,26938,26926,26999,27038,27052,27105,27115,27148,27310,27381,27443,27442,27558,27544,27551,27608,27576,27560,27620,27631,27693,27739,27715,27732,27752,27730,27716,27691,27706,27630,27682,27638,27711,27682,27702,27716,27710,27773,27803,27788,27804,27838,27851,27795,27827,27843,27831,27855,27876,27894,27917,27972,28004,28071,28111,28118,28180,28189,28192,28227,28325,28358,28385,28461,28520,28596,28704,28788,28869,28947,29051,29087,29234,29320,29418,29576,29660,29801,29884,30007,30059,30130,30279,30391,30525,30623,30748,30881,31013,31152,31267,31383,31482,31606,31722,31900,31999,32132,32246,32362,32519,32626,32766,32847,32778,32780,32914,32998,33113,33200,33251,33327,33426,33534,33619,33671,33597,33565,33607,33681,33767,33823,33882,33937,34005,34024,34047,34036,33854,33746,33701,33712,33665,33635,33636,33572,33527,33467,33389,33330,33189,33103,33061,33022,32978,32938,32954,32986,33004,32990,33036,33012,32983,32954,32918,32871,32767,32696,32654,32515,32415,32305,32160,32038,32022,31981,31840,31703,31593,31427,31307,31129,31006,30852,30656,30434,30153,29938,29740,29549,29344,29159,29001,28819,28624,28427,28254,28047,27835,27652,27491,27325,27135,26747,26774,26621,26460,26300,26148,25991
Day-ahead net forecast,23758,22155,22155,22155,22155,22155,22155,22155,22155,22155,22155,22155,22155,20875,20875,20875,20875,20875,20875,20875,20875,20875,20875,20875,20875,20315,20315,20315,20315,20315,20315,20315,20315,20315,20315,20315,20315,20234,20234,20234,20234,20234,20234,20234,20234,20234,20234,20234,20234,20596,20596,20596,20596,20596,20596,20596,20596,20596,20596,20596,20596,21801,21801,21801,21801,21801,21801,21801,21801,21801,21801,21801,21801,22707,22707,22707,22707,22707,22707,22707,22707,22707,22707,22707,22707,19617,19617,19617,19617,19617,19617,19617,19617,19617,19617,19617,19617,15718,15718,15718,15718,15718,15718,15718,15718,15718,15718,15718,15718,14017,14017,14017,14017,14017,14017,14017,14017,14017,14017,14017,14017,13111,13111,13111,13111,13111,13111,13111,13111,13111,13111,13111,13111,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873,13367,13367,13367,13367,13367,13367,13367,13367,13367,13367,13367,13367,14391,14391,14391,14391,14391,14391,14391,14391,14391,14391,14391,14391,15616,15616,15616,15616,15616,15616,15616,15616,15616,15616,15616,15616,17298,17298,17298,17298,17298,17298,17298,17298,17298,17298,17298,17298,19146,19146,19146,19146,19146,19146,19146,19146,19146,19146,19146,19146,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,26869,26869,26869,26869,26869,26869,26869,26869,26869,26869,26869,26869,29624,29624,29624,29624,29624,29624,29624,29624,29624,29624,29624,29624,29462,29462,29462,29462,29462,29462,29462,29462,29462,29462,29462,29462,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,27933,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,23695,23695,23695,23695,23695,23695,23695,23695,23695,23695,23695,23695
Net demand,22029,21931,21947,21896,21818,21806,21665,21518,21409,21248,21130,21033,20870,20864,20849,20832,20744,20662,20586,20509,20453,20378,20361,20313,20246,20285,20302,20293,20302,20233,20204,20155,20123,20089,20063,20047,19994,19917,19906,19836,19891,19871,19872,19850,19842,19845,19835,19829,19816,19935,20071,20107,20146,20151,20231,20316,20412,20504,20601,20662,20772,20935,21220,21356,21428,21497,21558,21675,21771,21892,22000,22161,22278,22518,22942,23092,23158,23190,23186,23132,23074,22960,22848,22722,22560,22413,22377,22179,21958,21665,21316,20984,20685,20356,20050,19796,19507,19276,19079,18854,18596,18406,18224,17990,17781,17637,17438,17334,17203,17017,16931,16778,16596,16496,16328,16293,16203,16079,15936,15923,15959,15713,15586,15470,15436,15390,15357,15278,15242,15148,15212,15149,14979,14830,14832,14857,14815,14798,14806,14762,14788,14817,14754,14737,14721,14753,14851,14756,14790,14845,14881,14902,14875,14927,14997,15199,15240,15334,15410,15504,15537,15612,15728,15779,15941,16155,16231,16323,16529,16586,16623,16849,16976,17065,17065,17228,17199,17268,17405,17470,17599,17787,17938,18033,18237,18382,18498,18680,18822,19067,19299,19504,19714,19866,19844,20102,20407,20540,20775,20937,21066,21272,21491,21687,21911,22042,22187,22467,22811,23248,23643,24092,24563,24986,25385,25843,26261,26577,26817,27147,27500,27804,28087,28402,28634,28830,29062,29246,29371,29424,29333,29366,29367,29356,29351,29371,29394,29502,29501,29550,29536,29459,29377,29333,29307,29181,29087,29029,28901,28803,28662,28595,28441,28370,28423,28312,28173,28026,27858,27738,27610,27413,27239,27060,26893,26599,26316,26196,26017,25837,25678,25522,25387,25210,25038,24924,24781,24549,24383,24236,24059,23919,23556,23555,23373,23231,23068,22953,22854
