Net Demand 06/02/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,25174,24845,24845,24845,24415,24415,24415,24056,24056,24056,23803,23803,23803,23528,23528,23528,23120,23120,23120,22879,22879,22879,22631,22631,22631,22427,22427,22427,22228,22228,22228,22176,22176,22176,22036,22036,22036,21908,21908,21908,21847,21847,21847,21779,21779,21779,21833,21833,21833,21892,21892,21892,21982,21982,21982,22078,22078,22078,22428,22428,22428,22736,22736,22736,22787,22787,22787,22847,22847,22847,23280,23280,23280,23597,23597,23597,23762,23762,23762,23873,23873,23873,24248,24248,24248,24384,24384,24384,24423,24423,24423,24414,24414,24414,24397,24397,24397,24399,24399,24399,24450,24450,24450,24241,24241,24241,24227,24227,24227,24077,24077,24077,23766,23766,23766,23698,23698,23698,23696,23696,23696,23491,23491,23491,23587,23587,23587,23883,23883,23883,23857,23857,23857,23954,23954,23954,24068,24068,24068,24191,24191,24191,24442,24442,24442,24639,24639,24639,24888,24888,24888,25174,25174,25174,25525,25525,25525,25858,25858,25858,26152,26152,26152,26487,26487,26487,26687,26687,26687,26925,26925,26925,27373,27373,27373,27900,27900,27900,28003,28003,28003,28274,28274,28274,28744,28744,28744,29120,29120,29120,29294,29294,29294,29522,29522,29522,29782,29782,29782,30200,30200,30200,30326,30326,30326,30637,30637,30637,30834,30834,30834,31019,31019,31019,30967,30967,30967,31123,31123,31123,31307,31307,31307,31261,31261,31261,31039,31039,31039,30878,30878,30878,30796,30796,30796,30681,30681,30681,30643,30643,30643,30806,30806,30806,30823,30823,30823,30659,30659,30659,30451,30451,30451,30148,30148,30148,29871,29871,29871,29296,29296,29296,28698,28698,28698,28176,28176,28176,27723,27723,27723,27126,27126,27126,26608,26608,26608,26150,26150,26150,25698,25698,25698,25260,25260,25260,24892,24892,24892
Demand,25035,24935,24832,24718,24658,24579,24468,24371,24219,24121,24017,23876,23749,23613,23527,23519,23427,23329,23237,23126,22990,22934,22850,22757,22644,22531,22437,22448,22463,22438,22365,22286,22190,22146,22080,22053,22002,22020,22001,21982,21947,21936,21876,21860,21833,21792,21753,21755,21761,21825,21892,21837,21918,21933,21930,22000,22074,22092,22151,22169,22193,22378,22573,22656,22755,22788,22808,22867,22925,22912,22913,22908,22947,23183,23382,23446,23512,23573,23627,23763,23782,23814,23875,23936,23950,24138,24422,24403,24436,24445,24416,24483,24493,24457,24460,24465,24484,24473,24611,24495,24485,24481,24414,24392,24316,24304,24246,24200,24080,24023,24002,23981,23921,23945,23883,23869,23842,23755,23605,23636,23620,23637,23835,23885,23947,23962,23888,23841,23892,23860,23852,23922,23900,23960,24071,24105,24087,24126,24121,24193,24315,24346,24341,24420,24461,24643,24606,24657,24737,24791,24917,24955,25040,25164,25294,25463,25536,25481,25613,25735,25922,26042,26033,26084,26189,26350,26470,26668,26820,26868,26902,26976,27105,27238,27277,27400,27440,27525,27640,27800,27919,27962,28086,28219,28356,28475,28609,28700,28786,28900,29019,29096,29267,29171,29169,29326,29462,29607,29717,29803,29948,30076,30149,30278,30362,30305,30325,30379,30474,30604,30710,30812,30826,30877,30988,31023,31033,30985,30997,31065,31093,31129,31134,31109,31159,31199,31161,31091,31095,30985,30933,30888,30889,30852,30880,30841,30838,30847,30870,30877,30854,30865,30866,30878,30916,30851,30821,30775,30696,30654,30574,30491,30446,30423,30386,30319,30177,30034,29896,29754,29580,29450,29266,29117,28934,28702,28560,28356,28179,28040,27891,27599,27463,27329,27177,26979,26815,26622,26481,26312,26174,25998,25819,25646,25495,25339,25201,25059,24953
Day-ahead net forecast,21367,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,19494,19494,19494,19494,19494,19494,19494,19494,19494,19494,19494,19494,18615,18615,18615,18615,18615,18615,18615,18615,18615,18615,18615,18615,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18615,18615,18615,18615,18615,18615,18615,18615,18615,18615,18615,18615,19538,19538,19538,19538,19538,19538,19538,19538,19538,19538,19538,19538,17878,17878,17878,17878,17878,17878,17878,17878,17878,17878,17878,17878,13264,13264,13264,13264,13264,13264,13264,13264,13264,13264,13264,13264,10645,10645,10645,10645,10645,10645,10645,10645,10645,10645,10645,10645,9456,9456,9456,9456,9456,9456,9456,9456,9456,9456,9456,9456,8787,8787,8787,8787,8787,8787,8787,8787,8787,8787,8787,8787,8604,8604,8604,8604,8604,8604,8604,8604,8604,8604,8604,8604,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,9075,9075,9075,9075,9075,9075,9075,9075,9075,9075,9075,9075,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,10160,11912,11912,11912,11912,11912,11912,11912,11912,11912,11912,11912,11912,13477,13477,13477,13477,13477,13477,13477,13477,13477,13477,13477,13477,15922,15922,15922,15922,15922,15922,15922,15922,15922,15922,15922,15922,20598,20598,20598,20598,20598,20598,20598,20598,20598,20598,20598,20598,25298,25298,25298,25298,25298,25298,25298,25298,25298,25298,25298,25298,25901,25901,25901,25901,25901,25901,25901,25901,25901,25901,25901,25901,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,22912,22912,22912,22912,22912,22912,22912,22912,22912,22912,22912,22912,20647,20647,20647,20647,20647,20647,20647,20647,20647,20647,20647,20647
Demand response event,Net demand,21423,21387,21274,21226,21091,21021,20905,20810,20718,20641,20586,20504,20383,20245,20113,20026,19924,19811,19705,19588,19463,19407,19353,19265,19159,19013,18931,18888,18985,18924,18917,18875,18805,18811,18777,18753,18702,18733,18689,18668,18647,18571,18504,18467,18464,18432,18412,18419,18466,18524,18641,18635,18752,18764,18766,18793,18869,18914,18944,18934,18991,19131,19365,19480,19592,19640,19673,19725,19834,19828,19767,19746,19604,19572,19618,19322,18941,18565,18188,17800,17455,16991,16601,16140,15685,15422,15207,14813,14069,13413,12916,12454,12273,12082,12079,11887,11627,11389,11408,11097,10879,10457,10246,10060,9908,9931,9725,9687,9502,9329,9140,9151,8984,8969,8915,8974,9011,8874,8617,8646,8402,8120,8088,8204,8325,8394,8146,8127,8194,8118,8016,8009,8217,8030,8075,8154,8195,8143,8159,8073,8135,8448,8423,8452,8494,8640,8617,8547,8571,8723,9012,9155,9278,9348,9292,9470,9635,9588,9822,9999,10247,10347,10316,10479,10579,10656,10754,11056,10844,10756,10753,11126,10967,10861,10861,10919,10872,10948,11163,11209,11459,11591,11428,11481,12005,12035,12005,11779,11821,12240,12503,12581,12722,13016,13114,13459,13829,13874,13973,14022,14131,14238,14212,14570,14945,15101,15223,15218,15296,15898,16658,17023,17502,17814,17643,18131,18746,19194,19697,20127,20235,20787,21171,21920,22388,22924,23380,23582,23913,24123,24487,24667,24832,24935,25040,25224,25399,25502,25570,25654,25701,25672,25656,25645,25613,25585,25493,25438,25382,25297,25228,25074,25069,25005,24920,24910,24739,24695,24675,24576,24464,24329,24148,23964,23773,23578,23480,23376,23229,23083,22989,22751,22588,22421,22260,22041,21854,21675,21532,21374,21187,20997,20803,20660,20522,20378,20273,20141,20033
