Net Demand 08/16/2021,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,0:00
Hour-ahead forecast,28678,28212,28212,28212,27773,27773,27773,27293,27293,27293,26876,26876,26876,26499,26499,26499,26140,26140,26140,25815,25815,25815,25537,25537,25537,25191,25191,25191,24890,24890,24890,24705,24705,24705,24565,24565,24565,24491,24491,24491,24474,24474,24474,24311,24311,24311,24332,24332,24332,24499,24499,24499,24535,24535,24535,24618,24618,24618,24961,24961,24961,25366,25366,25366,25628,25628,25628,25880,25880,25880,26471,26471,26471,26811,26811,26811,27058,27058,27058,27377,27377,27377,27961,27961,27961,28344,28344,28344,28780,28780,28780,28967,28967,28967,29268,29268,29268,29615,29615,29615,29712,29712,29712,29891,29891,29891,30122,30122,30122,30362,30362,30362,30546,30546,30546,30818,30818,30818,31091,31091,31091,31454,31454,31454,31789,31789,31789,32161,32161,32161,32481,32481,32481,33014,33014,33014,33486,33486,33486,33976,33976,33976,34464,34464,34464,34955,34955,34955,35574,35574,35574,36161,36161,36161,36768,36768,36768,37409,37409,37409,37866,37866,37866,38325,38325,38325,38784,38784,38784,39304,39304,39304,39831,39831,39831,40220,40220,40220,40604,40604,40604,41112,41112,41112,41473,41473,41473,41825,41825,41825,42000,42000,42000,42323,42323,42323,42487,42487,42487,42644,42644,42644,42657,42657,42657,42741,42741,42741,42879,42879,42879,42822,42822,42822,42499,42499,42499,42313,42313,42313,42024,42024,42024,41646,41646,41646,41251,41251,41251,40884,40884,40884,40531,40531,40531,40313,40313,40313,40133,40133,40133,39840,39840,39840,39073,39073,39073,38559,38559,38559,38097,38097,38097,37511,37511,37511,36835,36835,36835,36130,36130,36130,35369,35369,35369,34612,34612,34612,33786,33786,33786,32917,32917,32917,32089,32089,32089,31400,31400,31400,30718,30718,30718,30096,30096,30096,29552,29552,29552
Demand,28594,28512,28387,28258,28117,27956,27796,27670,27523,27368,27202,27046,26915,26806,26706,26598,26458,26327,26204,26084,25982,25869,25714,25574,25475,25367,25325,25221,25142,25060,24998,24927,24843,24793,24727,24651,24574,24609,24606,24542,24492,24452,24411,24391,24370,24322,24327,24297,24300,24370,24450,24461,24518,24500,24522,24582,24647,24681,24710,24759,24821,24970,25183,25315,25377,25479,25531,25641,25783,25872,25946,26055,26159,26463,26752,26884,27015,27047,27075,27199,27327,27401,27483,27567,27692,28059,28275,28414,28477,28558,28604,28692,28753,28834,28910,28979,29089,29286,29393,29435,29522,29568,29542,29625,29698,29759,29784,29855,29955,30121,30234,30306,30370,30425,30431,30513,30608,30675,30730,30864,30935,31113,31184,31307,31444,31527,31680,31771,31823,31982,32178,32301,32440,32644,32800,32938,33093,33278,33380,33548,33752,33884,34000,34187,34362,34490,34687,34875,35074,35291,35498,35685,35849,36026,36228,36474,36641,36784,36965,37123,37279,37493,37660,37851,38035,38229,38398,38594,38774,38891,39054,39227,39383,39512,39611,39752,39936,40102,40270,40449,40526,40591,40728,40920,41012,41227,41334,41454,41573,41689,41830,41979,42076,41926,41920,42059,42169,42278,42357,42439,42512,42598,42596,42692,42743,42612,42533,42586,42625,42679,42750,42766,42759,42823,42827,42783,42737,42457,42264,42247,42181,42097,42045,42007,41945,41867,41866,41720,41559,41364,41190,41064,40924,40790,40720,40592,40494,40454,40010,39908,39842,39712,39658,39579,39452,39345,39199,39165,39009,38840,38628,38408,38159,38006,37926,37742,37521,37267,37107,36899,36693,36418,36217,35948,35642,35251,34918,34627,34388,34100,33857,33577,33278,33091,32774,32522,32254,31906,31726,31468,31238,31009,30826,30614,30392,30158,29933,29722,29496
Day-ahead net forecast,Net demand,24767,24612,24528,24359,24257,24059,23893,23749,23609,23459,23313,23091,22942,22778,22670,22582,22480,22307,22208,22097,22002,21862,21762,21556,21475,21371,21338,21279,21186,21126,21054,20999,20951,20879,20839,20761,20707,20721,20778,20772,20747,20707,20712,20711,20731,20675,20680,20740,20781,20865,21036,21138,21212,21246,21295,21378,21488,21530,21541,21583,21657,21719,21917,22101,22214,22364,22500,22650,22843,22986,23150,23303,23417,23640,24022,24159,24324,24397,24424,24481,24625,24666,24746,24787,24842,25013,25246,25220,25169,25014,24973,24862,24712,24532,24271,23917,23651,23550,23339,22867,22512,22342,22216,22375,22169,21717,21316,21178,21119,21090,21044,20803,20794,20670,20581,20434,20384,20255,20162,20200,20163,20143,20056,20167,20237,20278,20406,20227,20090,20100,20141,20497,20682,20940,20978,20950,20952,21022,21096,21172,21247,21388,21537,21645,21894,21929,22101,22202,22323,22534,22726,22887,23058,23178,23321,23530,23696,23854,23929,24067,24144,24315,24475,24595,24763,24912,25050,25152,25285,25499,25600,25753,25937,26202,26436,26516,26668,26805,26836,27031,27066,27259,27337,27575,27705,27865,28129,28373,28561,28705,28967,29219,29481,29619,29518,29697,29970,30086,30223,30360,30545,30814,30927,31146,31360,31495,31405,31602,31807,32081,32356,32672,32919,33281,33580,33769,34032,34126,34170,34433,34725,34990,35221,35521,35728,35843,36032,36106,36178,36123,36006,36000,35957,35916,35853,35858,35800,35723,35849,35503,35366,35215,35107,34972,34807,34686,34560,34392,34306,34205,34081,33861,33606,33298,33216,33017,32754,32430,32139,31952,31683,31434,31165,30989,30665,30345,29971,29692,29440,29239,29013,28783,28531,28368,28154,27925,27707,27416,27223,27038,26825,26627,26459,26280,26129,25917,25712,25531,25374
