Net Demand 08/17/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,29552,29086,29086,29086,28634,28634,28634,28315,28315,28315,27908,27908,27908,27532,27532,27532,27164,27164,27164,26776,26776,26776,26458,26458,26458,26166,26166,26166,25899,25899,25899,25687,25687,25687,25492,25492,25492,25331,25331,25331,25215,25215,25215,25083,25083,25083,25119,25119,25119,25182,25182,25182,25267,25267,25267,25289,25289,25289,25588,25588,25588,25909,25909,25909,26198,26198,26198,26509,26509,26509,27057,27057,27057,27290,27290,27290,27500,27500,27500,27683,27683,27683,28092,28092,28092,28479,28479,28479,28640,28640,28640,28713,28713,28713,28962,28962,28962,29108,29108,29108,29272,29272,29272,29419,29419,29419,29581,29581,29581,29737,29737,29737,29913,29913,29913,30020,30020,30020,30182,30182,30182,30395,30395,30395,30571,30571,30571,30792,30792,30792,30932,30932,30932,31337,31337,31337,31618,31618,31618,31896,31896,31896,32153,32153,32153,32550,32550,32550,32972,32972,32972,33460,33460,33460,33804,33804,33804,34372,34372,34372,34775,34775,34775,35193,35193,35193,35501,35501,35501,35890,35890,35890,36234,36234,36234,36613,36613,36613,36915,36915,36915,37356,37356,37356,37679,37679,37679,38018,38018,38018,38177,38177,38177,38454,38454,38454,38602,38602,38602,38834,38834,38834,38923,38923,38923,39015,39015,39015,39034,39034,39034,39015,39015,39015,38903,38903,38903,38741,38741,38741,38546,38546,38546,38226,38226,38226,37876,37876,37876,37437,37437,37437,37258,37258,37258,37123,37123,37123,37001,37001,37001,36506,36506,36506,36185,36185,36185,35771,35771,35771,35258,35258,35258,34840,34840,34840,34315,34315,34315,33718,33718,33718,32999,32999,32999,32353,32353,32353,31636,31636,31636,30855,30855,30855,30202,30202,30202,29620,29620,29620,29011,29011,29011,28508,28508,28508,28066,28066,28066
Demand,29496,29400,29302,29187,29111,29001,28869,28729,28605,28436,28253,28094,27965,27806,27675,27540,27422,27277,27151,27012,26892,26790,26721,26548,26466,26375,26320,26220,26138,26041,25962,25854,25753,25654,25577,25491,25446,25401,25355,25318,25311,25273,25201,25197,25171,25143,25100,25040,25012,25071,25149,25170,25126,25156,25173,25235,25247,25264,25316,25323,25374,25545,25774,25921,26030,26072,26137,26281,26358,26452,26540,26564,26644,26998,27275,27360,27459,27468,27472,27543,27640,27662,27754,27821,27823,28080,28272,28354,28360,28426,28451,28503,28593,28647,28656,28696,28716,28911,29073,29142,29168,29206,29212,29279,29312,29294,29364,29391,29476,29559,29668,29697,29722,29776,29783,29769,29804,29864,29912,29981,30041,30120,30178,30244,30288,30390,30427,30494,30507,30583,30736,30834,30933,31071,31136,31208,31349,31448,31465,31568,31642,31719,31825,32035,32154,32235,32412,32533,32706,32833,32926,33067,33171,33307,33461,33742,33870,34028,34089,34213,34391,34557,34634,34724,34863,35016,35131,35304,35419,35483,35647,35793,35954,36048,36148,36273,36381,36521,36639,36850,36941,37030,37129,37251,37394,37521,37662,37717,37833,37953,38024,38183,38241,38193,38177,38282,38365,38540,38606,38648,38687,38796,38905,38924,38955,38770,38700,38763,38796,38899,38999,39034,39067,39126,39157,39138,39136,38919,38752,38685,38652,38642,38590,38518,38460,38386,38244,38149,38067,37921,37738,37644,37539,37434,37366,37265,37198,37155,36877,36796,36717,36657,36603,36579,36544,36462,36348,36217,36103,35952,35790,35618,35426,35291,35234,35048,34899,34727,34534,34341,34167,33940,33712,33483,33197,32896,32634,32355,32145,31902,31696,31492,31241,31043,30805,30569,30323,30088,29852,29631,29463,29291,29135,28952,28753,28584,28401,28213,
Day-ahead net forecast,27361,24329,24329,24329,24329,24329,24329,24329,24329,24329,24329,24329,24329,22593,22593,22593,22593,22593,22593,22593,22593,22593,22593,22593,22593,21588,21588,21588,21588,21588,21588,21588,21588,21588,21588,21588,21588,21057,21057,21057,21057,21057,21057,21057,21057,21057,21057,21057,21057,21211,21211,21211,21211,21211,21211,21211,21211,21211,21211,21211,21211,22390,22390,22390,22390,22390,22390,22390,22390,22390,22390,22390,22390,23254,23254,23254,23254,23254,23254,23254,23254,23254,23254,23254,23254,20538,20538,20538,20538,20538,20538,20538,20538,20538,20538,20538,20538,17056,17056,17056,17056,17056,17056,17056,17056,17056,17056,17056,17056,15897,15897,15897,15897,15897,15897,15897,15897,15897,15897,15897,15897,15722,15722,15722,15722,15722,15722,15722,15722,15722,15722,15722,15722,16270,16270,16270,16270,16270,16270,16270,16270,16270,16270,16270,16270,17111,17111,17111,17111,17111,17111,17111,17111,17111,17111,17111,17111,18563,18563,18563,18563,18563,18563,18563,18563,18563,18563,18563,18563,20127,20127,20127,20127,20127,20127,20127,20127,20127,20127,20127,20127,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,23613,26408,26408,26408,26408,26408,26408,26408,26408,26408,26408,26408,26408,30740,30740,30740,30740,30740,30740,30740,30740,30740,30740,30740,30740,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,32894,32894,32894,32894,32894,32894,32894,32894,32894,32894,32894,32894,31013,31013,31013,31013,31013,31013,31013,31013,31013,31013,31013,31013,28369,28369,28369,28369,28369,28369,28369,28369,28369,28369,28369,28369,25832,25832,25832,25832,25832,25832,25832,25832,25832,25832,25832,25832
Net demand,25374,25225,25193,25080,25042,24957,24846,24722,24606,24470,24279,24139,24042,23933,23822,23687,23588,23437,23285,23178,23040,22921,22795,22682,22557,22480,22439,22389,22318,22252,22195,22036,21945,21838,21772,21691,21668,21638,21630,21562,21561,21547,21506,21478,21497,21478,21469,21415,21422,21447,21580,21644,21675,21692,21803,21964,22045,22127,22187,22230,22336,22492,22748,22968,23077,23174,23221,23348,23474,23587,23675,23806,23805,24148,24471,24613,24718,24780,24808,24769,24784,24686,24615,24521,24373,24246,24232,24096,23859,23545,23271,22988,22645,22377,22019,21700,21395,21123,20966,20750,20515,20266,19959,19709,19476,19140,18987,18762,18512,18393,18311,18275,18060,17974,17804,17638,17430,17348,17235,17170,17101,17071,17007,17051,16980,16987,17125,17106,17077,17074,17030,17027,16995,16873,16827,16863,16918,16901,16869,16757,16771,16779,16816,16909,17065,17101,17222,17405,17556,17684,17750,17779,17865,18006,18128,18313,18472,18637,18749,18806,18935,19014,19100,19201,19312,19473,19560,19729,19823,19864,20005,20122,20337,20507,20614,20859,21006,21061,21155,21503,21658,21711,21729,21850,21998,22334,22542,22635,22688,22959,23055,23211,23384,23541,23568,23766,23882,24076,24348,24419,24525,24859,25017,25327,25458,25582,25574,25760,26102,26393,26772,27096,27431,27806,28229,28667,28999,29336,29572,29976,30416,30963,31393,31698,32050,32326,32522,32741,32981,33126,33181,33223,33324,33382,33446,33382,33369,33402,33539,33324,33265,33195,33170,33155,33096,33041,32957,32850,32750,32663,32500,32350,32167,31980,31924,31790,31594,31448,31215,30961,30766,30527,30281,30029,29795,29488,29185,28939,28718,28517,28374,28201,27981,27770,27558,27297,27039,26718,26576,26222,25974,25736,25580,25368,25206,25086,24898,24715,
