Net Demand 06/13/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,24532,24207,24207,24207,23906,23906,23906,23559,23559,23559,23246,23246,23246,22985,22985,22985,22718,22718,22718,22456,22456,22456,22292,22292,22292,22115,22115,22115,21935,21935,21935,21827,21827,21827,21747,21747,21747,21627,21627,21627,21541,21541,21541,21457,21457,21457,21620,21620,21620,21682,21682,21682,21821,21821,21821,21908,21908,21908,22229,22229,22229,22558,22558,22558,22658,22658,22658,22684,22684,22684,23114,23114,23114,23466,23466,23466,23807,23807,23807,24066,24066,24066,24447,24447,24447,24652,24652,24652,24606,24606,24606,24636,24636,24636,24723,24723,24723,24778,24778,24778,24510,24510,24510,24559,24559,24559,24524,24524,24524,24465,24465,24465,24351,24351,24351,24168,24168,24168,24055,24055,24055,23971,23971,23971,23919,23919,23919,23846,23846,23846,23868,23868,23868,23832,23832,23832,23719,23719,23719,23778,23778,23778,23779,23779,23779,23789,23789,23789,23959,23959,23959,23974,23974,23974,24176,24176,24176,24226,24226,24226,24469,24469,24469,24714,24714,24714,24878,24878,24878,25055,25055,25055,25315,25315,25315,25583,25583,25583,25759,25759,25759,26087,26087,26087,26297,26297,26297,26621,26621,26621,26827,26827,26827,27154,27154,27154,27512,27512,27512,28000,28000,28000,28324,28324,28324,28957,28957,28957,29460,29460,29460,29906,29906,29906,30124,30124,30124,30390,30390,30390,30627,30627,30627,30707,30707,30707,30706,30706,30706,30623,30623,30623,30446,30446,30446,30473,30473,30473,30420,30420,30420,30300,30300,30300,30260,30260,30260,30061,30061,30061,30034,30034,30034,30006,30006,30006,29813,29813,29813,29435,29435,29435,28871,28871,28871,28343,28343,28343,27868,27868,27868,27380,27380,27380,26820,26820,26820,26292,26292,26292,25862,25862,25862,25415,25415,25415,25038,25038,25038
Demand,24501,24514,24495,24361,24246,24102,24004,23882,23759,23654,23529,23421,23306,23216,23161,23059,22956,22894,22811,22716,22648,22536,22475,22407,22315,22257,22205,22189,22137,22095,22001,21963,21906,21835,21792,21751,21697,21689,21671,21653,21622,21587,21558,21577,21540,21534,21535,21539,21534,21533,21577,21643,21647,21688,21720,21750,21813,21841,21884,21948,22007,22153,22364,22432,22524,22625,22699,22707,22739,22759,22784,22731,22848,23138,23374,23468,23580,23733,23784,23868,23961,24005,24064,24163,24183,24362,24542,24586,24632,24622,24606,24632,24627,24653,24652,24671,24654,24638,24705,24853,24900,24841,24762,24756,24761,24709,24664,24630,24591,24573,24586,24597,24549,24506,24468,24379,24346,24096,24089,24202,24177,24183,24130,24028,23968,23998,24034,24087,24020,23939,23905,23893,23881,23909,23928,23806,23776,23824,23923,23860,23832,23876,23927,23864,23845,23978,23962,23989,23964,23999,23996,24020,24052,24042,24059,24119,24150,24156,24177,24251,24304,24391,24481,24544,24588,24613,24672,24766,24801,24805,24843,24962,25077,25140,25194,25193,25229,25334,25273,25482,25655,25800,25683,25835,26028,26144,26246,26285,26408,26524,26617,26723,26825,26829,26941,27094,27227,27385,27536,27678,27845,28073,28264,28459,28675,28675,28754,28928,29107,29246,29435,29600,29735,29922,30003,30212,30318,30270,30267,30387,30364,30506,30608,30667,30724,30798,30783,30781,30858,30760,30677,30682,30714,30704,30713,30673,30615,30451,30366,30311,30297,30334,30123,30161,30340,30151,30138,30122,30287,30308,30304,30247,30231,30306,30331,30286,30212,30113,30013,29901,29767,29568,29430,29239,29063,28858,28735,28603,28516,28320,28079,27915,27699,27517,27320,27093,26953,26730,26648,26460,26300,26118,25965,25731,25557,25462,25382,25243,
Day-ahead net forecast,20373,18555,18555,18555,18555,18555,18555,18555,18555,18555,18555,18555,18555,17622,17622,17622,17622,17622,17622,17622,17622,17622,17622,17622,17622,16892,16892,16892,16892,16892,16892,16892,16892,16892,16892,16892,16892,16575,16575,16575,16575,16575,16575,16575,16575,16575,16575,16575,16575,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,17588,17588,17588,17588,17588,17588,17588,17588,17588,17588,17588,17588,15694,15694,15694,15694,15694,15694,15694,15694,15694,15694,15694,15694,10929,10929,10929,10929,10929,10929,10929,10929,10929,10929,10929,10929,7891,7891,7891,7891,7891,7891,7891,7891,7891,7891,7891,7891,6033,6033,6033,6033,6033,6033,6033,6033,6033,6033,6033,6033,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4156,4156,4156,4156,4156,4156,4156,4156,4156,4156,4156,4156,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,5636,5636,5636,5636,5636,5636,5636,5636,5636,5636,5636,5636,7357,7357,7357,7357,7357,7357,7357,7357,7357,7357,7357,7357,9518,9518,9518,9518,9518,9518,9518,9518,9518,9518,9518,9518,12868,12868,12868,12868,12868,12868,12868,12868,12868,12868,12868,12868,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,18192,23845,23845,23845,23845,23845,23845,23845,23845,23845,23845,23845,23845,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24186,24186,24186,24186,24186,24186,24186,24186,24186,24186,24186,24186,21976,21976,21976,21976,21976,21976,21976,21976,21976,21976,21976,21976,19793,19793,19793,19793,19793,19793,19793,19793,19793,19793,19793,19793
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,19548,19559,19597,19558,19436,19280,19123,19042,18961,18967,19021,18948,18862,18794,18728,18703,18650,18562,18515,18518,18447,18378,18346,18221,18124,18088,18060,18026,18002,17978,17981,17952,17872,17812,17754,17736,17626,17568,17592,17503,17419,17349,17363,17421,17467,17462,17465,17503,17454,17406,17397,17504,17534,17610,17702,17702,17737,17711,17737,17808,17844,17896,18088,18162,18170,18174,18310,18286,18338,18190,17484,17784,17924,17828,17824,17561,17221,16980,16579,16055,15578,15084,14556,14105,13521,13072,12692,12253,11696,11178,10957,10709,10695,10593,10491,10494,10344,9396,9030,8834,8663,8780,8876,8834,8927,8955,8951,8932,8740,8311,8121,8091,8051,7866,7783,7856,7850,7810,7795,7918,8006,7777,7773,7498,7291,6968,5980,6920,7370,7245,7263,7159,7151,6767,6686,6869,6741,6450,6716,6791,7116,7052,6659,6504,6321,6686,6784,6788,6798,6486,6167,6173,6567,6852,6754,6853,6871,7004,6829,7119,7319,7369,7598,7444,7407,7423,7627,7674,7992,7998,8088,8200,8239,8351,8364,8223,8555,8789,8559,8880,8951,8787,8917,9191,9128,9281,9401,9734,9684,9834,9891,10011,10087,10135,10168,10288,10323,10469,10734,10844,11035,11163,11335,11556,11903,11997,12389,12390,12700,12942,13262,13557,13864,14323,14633,15116,15617,16088,16529,17020,17633,18150,18744,19314,19868,20490,21130,21586,22183,22718,23126,23565,24011,24391,24768,25145,25526,25719,25902,26044,26168,26274,26231,26177,26360,26308,26252,26266,26303,26396,26408,26394,26354,26476,26649,26637,26633,26538,26495,26404,26293,26179,26046,25918,25777,25570,25429,25342,25277,25221,24950,24781,24489,24320,24117,23861,23673,23506,23451,23298,23153,22939,22734,22491,22354,22230,22236,21999,
