Net Demand 06/14/2022,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,25038,24757,24757,24757,24353,24353,24353,24108,24108,24108,23744,23744,23744,23456,23456,23456,23198,23198,23198,22924,22924,22924,22772,22772,22772,22640,22640,22640,22508,22508,22508,22332,22332,22332,22278,22278,22278,22204,22204,22204,22133,22133,22133,22023,22023,22023,22066,22066,22066,22197,22197,22197,22277,22277,22277,22329,22329,22329,22618,22618,22618,22898,22898,22898,23029,23029,23029,23006,23006,23006,23441,23441,23441,23735,23735,23735,23964,23964,23964,24073,24073,24073,24382,24382,24382,24473,24473,24473,24516,24516,24516,24302,24302,24302,24356,24356,24356,24429,24429,24429,24167,24167,24167,23923,23923,23923,23846,23846,23846,23633,23633,23633,23538,23538,23538,23376,23376,23376,23327,23327,23327,23259,23259,23259,23227,23227,23227,23269,23269,23269,23267,23267,23267,23327,23327,23327,23262,23262,23262,23383,23383,23383,23455,23455,23455,23693,23693,23693,23908,23908,23908,24123,24123,24123,24387,24387,24387,24684,24684,24684,24981,24981,24981,25773,25773,25773,26098,26098,26098,26465,26465,26465,26908,26908,26908,27190,27190,27190,27659,27659,27659,28062,28062,28062,28583,28583,28583,28880,28880,28880,29308,29308,29308,29792,29792,29792,30069,30069,30069,30651,30651,30651,30952,30952,30952,31394,31394,31394,31749,31749,31749,32077,32077,32077,32323,32323,32323,32593,32593,32593,32837,32837,32837,32918,32918,32918,32838,32838,32838,32857,32857,32857,32700,32700,32700,32566,32566,32566,32463,32463,32463,32345,32345,32345,32273,32273,32273,32021,32021,32021,31843,31843,31843,31577,31577,31577,31228,31228,31228,30729,30729,30729,30114,30114,30114,29532,29532,29532,29004,29004,29004,28413,28413,28413,27834,27834,27834,27309,27309,27309,26824,26824,26824,26390,26390,26390,25911,25911,25911
Demand,24980,24943,24904,24878,24772,24645,24505,24381,24244,24160,24011,23911,23793,23699,23651,23546,23444,23325,23276,23210,23181,23074,23020,22950,22884,22866,22839,22744,22665,22611,22572,22519,22519,22370,22352,22351,22310,22259,22220,22170,22135,22105,22084,22071,22043,22033,22039,21996,22008,22047,22088,22107,22076,22154,22171,22202,22229,22225,22238,22294,22340,22548,22748,22847,22926,22959,22993,23062,23095,23073,23057,23102,23109,23356,23595,23663,23729,23838,23852,23941,24035,24021,24018,24095,24152,24320,24500,24562,24566,24533,24488,24486,24488,24448,24416,24381,24381,24427,24465,24363,24307,24292,24202,24159,24115,24050,23977,23891,23875,23825,23843,23792,23738,23656,23614,23595,23557,23510,23451,23385,23379,23336,23325,23440,23375,23353,23290,23306,23284,23311,23309,23330,23263,23486,23595,23837,24085,23900,23816,23830,23835,23893,23939,24090,24156,24211,24232,24298,24367,24441,24499,24576,24632,24757,24827,24968,25039,24944,24968,25059,25215,25308,25428,25576,25707,25709,25880,26063,26113,26231,26334,26431,26470,26639,26840,26856,27024,27248,27229,27380,27677,27815,27916,28061,28082,28225,28459,28540,28749,28928,29025,29329,29386,29368,29374,29631,29802,29990,30053,30216,30401,30582,30778,30894,31082,31054,31131,31203,31336,31557,31727,31849,32028,32159,32346,32489,32615,32570,32541,32605,32693,32812,32909,32922,32996,33051,33132,33174,33177,33079,33013,32954,32909,32916,32946,32926,32906,32618,32567,32521,32446,32362,32323,32277,32258,32253,32221,32209,32140,32113,32025,31982,31911,31908,31849,31716,31643,31531,31391,31267,31075,30895,30714,30535,30330,30136,29985,29779,29590,29401,29219,29006,28822,28639,28436,28214,28015,27828,27621,27424,27256,26273,26827,26649,26463,25523,26142,26018,25887
Day-ahead net forecast,19793,18172,18172,18172,18172,18172,18172,18172,18172,18172,18172,18172,18172,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,16703,16703,16703,16703,16703,16703,16703,16703,16703,16703,16703,16703,16749,16749,16749,16749,16749,16749,16749,16749,16749,16749,16749,16749,17302,17302,17302,17302,17302,17302,17302,17302,17302,17302,17302,17302,18638,18638,18638,18638,18638,18638,18638,18638,18638,18638,18638,18638,17035,17035,17035,17035,17035,17035,17035,17035,17035,17035,17035,17035,12486,12486,12486,12486,12486,12486,12486,12486,12486,12486,12486,12486,9597,9597,9597,9597,9597,9597,9597,9597,9597,9597,9597,9597,8241,8241,8241,8241,8241,8241,8241,8241,8241,8241,8241,8241,7546,7546,7546,7546,7546,7546,7546,7546,7546,7546,7546,7546,7570,7570,7570,7570,7570,7570,7570,7570,7570,7570,7570,7570,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,9156,9156,9156,9156,9156,9156,9156,9156,9156,9156,9156,9156,10404,10404,10404,10404,10404,10404,10404,10404,10404,10404,10404,10404,11904,11904,11904,11904,11904,11904,11904,11904,11904,11904,11904,11904,13526,13526,13526,13526,13526,13526,13526,13526,13526,13526,13526,13526,16080,16080,16080,16080,16080,16080,16080,16080,16080,16080,16080,16080,21014,21014,21014,21014,21014,21014,21014,21014,21014,21014,21014,21014,26077,26077,26077,26077,26077,26077,26077,26077,26077,26077,26077,26077,27012,27012,27012,27012,27012,27012,27012,27012,27012,27012,27012,27012,26063,26063,26063,26063,26063,26063,26063,26063,26063,26063,26063,26063,23934,23934,23934,23934,23934,23934,23934,23934,23934,23934,23934,23934,21866,21866,21866,21866,21866,21866,21866,21866,21866,21866,21866,21866
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,21694,21521,21508,21486,21411,21289,21153,20973,20846,20755,20555,20387,20240,20033,19824,19694,19578,19287,19122,19040,19044,19021,18882,18814,18757,18701,18594,18509,18389,18282,18255,18233,18243,18089,18019,18068,18039,17669,17501,17479,17382,17259,17211,17179,17089,17074,17043,16980,16956,17009,17072,17100,17096,17188,17235,17287,17442,17505,17563,17594,17665,17817,18031,18173,18239,18309,18354,18499,18649,18664,18632,18562,18457,18374,18350,18068,17785,17494,17071,16613,16249,15968,15619,15279,15106,14454,14526,14540,14267,14217,14017,13996,14060,14050,13883,13669,13471,12926,12567,12192,11859,11663,11459,11324,11294,11444,11530,11518,11420,11211,11041,10793,10592,10625,10546,10653,10681,10646,10498,10587,10669,10531,10534,10741,10692,10834,10631,10617,10530,10526,10438,10607,10706,10195,10092,10287,10812,10697,10507,10384,10301,10279,10450,10442,10426,10332,10377,10478,10475,10503,10502,10483,10376,10278,10233,10413,10683,10446,10238,10231,10245,10260,10330,10499,10630,10717,10702,11073,11274,11425,11584,11768,11357,11335,11539,11542,11513,11523,11475,11641,12042,12060,12085,12259,12746,12788,12772,12813,12803,13163,13175,13679,13943,13643,13621,14054,14058,14015,14186,14383,14707,14848,14652,14691,14804,14899,14953,15484,15514,15786,16128,16348,16609,16995,17305,17723,18134,18657,18984,19359,19863,20415,20960,21532,22003,22676,23338,23937,24503,25013,25394,25818,26166,26537,26927,27246,27357,27815,27837,27963,27960,27905,27911,27886,27928,27881,27815,27741,27640,27546,27458,27333,27278,27198,27163,27011,26907,26846,26757,26673,26518,26347,26169,25969,25799,25561,25375,25177,24993,24780,24583,24348,24141,23965,23808,23575,23382,23185,22999,22774,22566,21702,22293,22102,21961,21000,21668,21507,21436
